REF,CHAMP,VALEUR,SOURCE
EMAX-2207-1800,RESISTANCE,72m Ω,https://www.racedayquads.com/products/emax-rsiii-series-2207-1800kv-motor
EMAX-2207-1800,UTILISATION,Racing,https://www.racedayquads.com/products/emax-rsiii-series-2207-1800kv-motor
EMAX-2207-2500,UTILISATION,Racing,https://www.racedayquads.com/products/emax-rsiii-series-2207-1800kv-motor
RCIN-0802-25000,D MOTEUR,11.2,https://www.racedayquads.com/products/rcinpower-gts-v3-1s-0802-25000kv-motors-choose-color
RCIN-0802-25000,H MOTEUR,8.2,https://www.racedayquads.com/products/rcinpower-gts-v3-1s-0802-25000kv-motors-choose-color
RCIN-0802-25000,RESISTANCE,105mΩ,https://www.racedayquads.com/products/rcinpower-gts-v3-1s-0802-25000kv-motors-choose-color
RCIN-0802-22000,D MOTEUR,11.2,https://www.racedayquads.com/products/rcinpower-gts-v3-1s-0802-25000kv-motors-choose-color
RCIN-0802-22000,H MOTEUR,8.2,https://www.racedayquads.com/products/rcinpower-gts-v3-1s-0802-25000kv-motors-choose-color
RCIN-0802-27000,D MOTEUR,11.2,https://www.racedayquads.com/products/rcinpower-gts-v3-1s-0802-25000kv-motors-choose-color
RCIN-0802-27000,H MOTEUR,8.2,https://www.racedayquads.com/products/rcinpower-gts-v3-1s-0802-25000kv-motors-choose-color
RCIN-0802-22000,RESISTANCE,117mΩ,https://www.racedayquads.com/products/rcinpower-gts-v3-1s-0802-22000kv-motors-choose-color
RCIN-1002-22000,RESISTANCE,75mΩ,https://www.racedayquads.com/products/rcinpower-gts-v3-1002-22000kv-motor-choose-color
RCIN-1002-14000,RESISTANCE,175mΩ,https://www.racedayquads.com/products/rcinpower-gts-v3-1002-14000kv-motor-choose-color
RCIN-1002-19000,RESISTANCE,89mΩ,https://www.racedayquads.com/products/rcinpower-gts-v3-1002-19000kv-motor-choose-color
RCIN-1003-22000,RESISTANCE,46mΩ,https://www.racedayquads.com/products/rcinpower-gts-v3-1003-22000kv-micro-motor-choose-color
RCIN-1003-10000,RESISTANCE,162m Ω,https://www.racedayquads.com/products/rcinpower-gts-v3-1003-10000kv-motor-choose-your-color
RCIN-1003-18000,RESISTANCE,162mΩ,https://www.racedayquads.com/products/rcinpower-gts-v3-1003-18000kv-micro-motor-choose-color
RCIN-2105-2950,RESISTANCE,60mΩ,https://www.racedayquads.com/products/rcinpower-gts-v3-2105-plus-2950kv-motor-choose-color
RCIN-2107-2080,RESISTANCE,53mΩ,https://www.racedayquads.com/products/rcinpower-gts-v3-2107-plus-2080kv-motor-choose-color
RCIN-2104-1800,RESISTANCE,210mΩ,https://www.racedayquads.com/products/rcinpower-gts-v3-2104-light-1800kv-motor-choose-color
HAPP-0702-26000,UTILISATION,Whoop,https://www.racedayquads.com/products/happymodel-se0702-0702-26000kv-motor
HAPP-0702-23000,UTILISATION,Whoop,https://www.racedayquads.com/products/happymodel-se0702-0702-26000kv-motor
EMAX-2808-1300,RESISTANCE,56mΩ,https://www.racedayquads.com/products/emax-e3-series-2808-motor-1300kv-1500kv
EMAX-2808-1300,UTILISATION,Long Range,https://www.racedayquads.com/products/emax-e3-series-2808-motor-1300kv-1500kv
EMAX-2808-1500,RESISTANCE,56mΩ,https://www.racedayquads.com/products/emax-e3-series-2808-motor-1300kv-1500kv
EMAX-2808-1500,UTILISATION,Long Range,https://www.racedayquads.com/products/emax-e3-series-2808-motor-1300kv-1500kv
IFLI-2205-2300,RESISTANCE,72.41mΩ / 50.63mΩ / ,https://www.racedayquads.com/products/iflight-xing2-2205-motor-2300kv-unibell
IFLI-2205-2300,UTILISATION,Freestyle,https://www.racedayquads.com/products/iflight-xing2-2205-motor-2300kv-unibell
RCIN-2207-1980,RESISTANCE,45mΩ,https://www.racedayquads.com/products/rcinpower-aos-supernova-2207-1980kv-motor-chris-rosser
RCIN-1804-3450,RESISTANCE,116m Ω,https://pyrodrone.com/products/rcinpower-gts-v3-1804-3450kv-brushless-fpv-drone-motor-teal-blue-pink
RCIN-1404-4000,UTILISATION,Freestyle,https://pyrodrone.com/products/rcinpower-aos-supernova-1404-4000kv-brushless-fpv-drone-motor
RCIN-1507-2680,RESISTANCE,113mΩ,https://www.racedayquads.com/products/rcinpower-smoox-1507-2680kv-micro-motor-gunmetal
RCIN-1507-2680,UTILISATION,Racing,https://www.racedayquads.com/products/rcinpower-smoox-1507-2680kv-micro-motor-gunmetal
RCIN-2807-1400,RESISTANCE,58mΩ,https://www.racedayquads.com/products/draft-rcinpower-aos-supernova-2807-1400kv-motor
RCIN-2207-1920,UTILISATION,Racing,https://pyrodrone.com/products/rcinpower-vanover-v3-2207-brushless-fpv-drone-motor-2060kv
RCIN-2207-2060,RESISTANCE,46mΩ,https://pyrodrone.com/products/rcinpower-vanover-v3-2207-brushless-fpv-drone-motor-2060kv
RCIN-2207-2060,UTILISATION,Racing,https://pyrodrone.com/products/rcinpower-vanover-v3-2207-brushless-fpv-drone-motor-2060kv
RCIN-2207-1920,RESISTANCE,50mΩ,https://pyrodrone.com/products/rcinpower-vanover-v3-2207-brushless-fpv-drone-motor-1920kv
EMAX-2207-1700,RESISTANCE,74mΩ,https://www.racedayquads.com/products/emax-e3-series-2207-motor-1700kv-1900kv-2400kv
IFLI-2806-1300,RESISTANCE,48.5mΩ,https://www.racedayquads.com/products/iflight-xing-2806-5-race-motor-1300kv-1800kv
IFLI-2806-1300,UTILISATION,Long Range,https://www.racedayquads.com/products/iflight-xing-2806-5-race-motor-1300kv-1800kv
IFLI-2806-1800,RESISTANCE,48.5mΩ,https://www.racedayquads.com/products/iflight-xing-2806-5-race-motor-1300kv-1800kv
